Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,City,Global,Client Served,Business Line
FlexiMC,https://www.fleximc.com,Renewable asset intelligence solution provider,Seed,"85,650",Energy Analytics,Nascent,2014,India,Bangalore,Global,Commercial and Industrial (C&I) ,Energy Analytics
IRP Systems,https://www.irpsystems.com,Developer of software-defined electric motors/actuators,Seed,,x,Nascent,2015,Israel,Ness Ziona,Global,Manufacturers,E Mobility
Ecoppia,https://www.ecoppia.com,Solar Panel Cleaning robots,Series A,"13,000,000",Renewables Transition,Nascent,2013,Israel,Herzliya,Global,Commercial and Industrial (C&I) ,Solar panel maintenance
Eastups,http://www.eastups.com,Manufacturer of electronics and energy management systems,Public,,x,Mature,1989,China,Dongguan,Global,Small and Medium Enterprises (SMEs) ,EV Charging
Step Robotics,http://www.steprobotics.com,Solar project planning and management solutions,Series A,,Energy analytics,Nascent,2014,Pakistan,Islamabad,Global,Small and Medium Enterprises (SMEs) ,Solar power analytics
Hann-Ocean,http://www.hann-ocean.com,Developer of wave energy converter,Seed,"5,329,820",Renewables Transition,Nascent,2005,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Energy harvesting 
Enerlytics Software Solutions,https://www.enerlytics.in,Data Analytics solutions for the renewable energy sector,Funded,,Energy Analytics,Nascent,2017,India,Ahmadabad,Global,Commercial and Industrial (C&I) ,Energy Analytics
Algo Engines,http://algoengines.com/,"IoT based technology solutions for wind turbines, solar plants & other IoTs",Funded,,Energy Analytics,Nascent,2012,India,Mumbai,Global,Commercial and Industrial (C&I) ,Energy Analytics
R&B Technology,https://www.rnbtechgroup.com,Developer of IoT enabled data platform for multiple industries,Series A,"3,600,000",Data Analytics,Nascent,2013,China,Pudong,Global,Commercial and Industrial (C&I) ,Data Analytics
Batterypool,https://www.batterypool.com,Operators of battery swapping stations for electric vehicles,Funded,,x,Nascent,2018,India,Pune,Global,Manufacturers,E Mobility
eBike,https://ebikego.in/,Multi-modal electromobility platform,Seed,"300,000",x,Nascent,2018,India,Amritsar,Global,End consumers,E Mobility
inGO Electric,http://www.ingoelectric.com,Developer of smart electric kick scooters,Funded,,x,Nascent,2018,India,Bangalore,Global,End consumers,E Mobility
LifeSmart,http://www.ilifesmart.com,Smart home solution provider,Series B,"21,425,100",Smart Cities,Nascent,2014,China,Hangzhou,Global,End consumers,Smart Home
Xinxiang City Hezhong Xinhui Vehicle,http://www.xxhzxh.com,Manufacturer of low-speed electric vehicles,Seed,,x,Nascent,2014,China,Xinxing,Global,End consumers,E Mobility
Linyang Energy,http://www.linyang.com,Provider of smart metering solutions,Funded,,Energy Efficiency,Nascent,1995,China,Nantong,Global,Small and Medium Enterprises (SMEs) ,Smart Meters
Jether Energy Research,https://www.jether-energy.com,Provider of predictive solutions for energy generation and demand,Seed,,Energy Analytics,Nascent,2013,Israel,Tel Aviv-Yafo,Global,Utilities ,Energy Analytics
Sindesy,https://sindesy.com/,Connected water heating systems,Seed,,Energy Analytics,Nascent,2016,Israel,Beersheba,Global,End consumers,Energy monitoring systems for households
TWENTY TWO MOTORS,http://22motors.in,Developer of smart electric scooters,Series A,"66,587,530",x,Nascent,2016,India,Gurgaon,Global,End consumers,E Mobility
RESync,https://www.resynctech.com,Provider of smart energy management systems,Funded,,Energy Analytics,Nascent,2017,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Energy Analytics
OneGrid,https://onegrid.co/en/home-2/,Platform for space & energy management,Series A,,Smart Energy,Nascent,2013,Brazil,Vitoria,Global,Commercial and Industrial (C&I) ,Smart Grids
Zodhya,https://www.zodhyatech.com,Provider of energy optimization solutions,Funded,,Energy Efficiency,Nascent,2017,India,Hyderabad,Global,Small and Medium Enterprises (SMEs) ,Energy Efficiency
Saudi Smart Electronic,https://sselco.com,IoT-based smart meter installation and advanced metering infrastructure provider,Funded,,Energy Efficiency,Nascent,2013,Saudi Arabia,Riyadh,Global,Utilities ,Smart Meters
EVI Technologies,http://www.evitpl.com/home.php,Electric vehicle charging infrastructure company,Seed,,x,Nascent,2017,India,Delhi,Global,Small and Medium Enterprises (SMEs) ,EV Charging
Strom Motors,https://www.strommotors.com,Electric vehicle maufacturer,Seed,,x,Nascent,2011,India,Mumbai,Global,End consumers,E Mobility
Synconext,https://www.synconext.com,IOT enabled energy efficiency solutions provider,Funded,,Data Analytics,Nascent,2011,India,Bangalore,Global,Commercial and Industrial (C&I) ,Data Analytics
MinionLabs,https://www.minionlabs.tech,Energy monitoring sensing device using load disaggregation and artificial intelligence,Seed,"203,233",Energy Analytics,Nascent,2016,India,Chennai,Global,Commercial and Industrial (C&I) ,Energy Analytics
HawKar,http://hawkar.tn/,Wheelchair-accessible electric car,Funded,,x,Nascent,2016,Tunisia,Tunis,African,End consumers,E Mobility
PDP Technologies,https://www.pdp-tech.com,IoT system for partial discharge monitoring in electrical systems,Seed,,Smart Energy,Nascent,2014,Israel,Ashkelon,Global,Utilities ,Smart Grids
3DBattery,https://www.3dbattery.co.il,Micro battery solutions for flexible and wearable technology,Seed,,x,Nascent,2016,Israel,Tel Aviv-Yafo,Global,Manufacturers,Battery manufacturing
EGM,https://egm.net/,Complete monitoring of transmission and distribution lines,Seed,"250,000",Smart Energy,Nascent,2012,Israel,Rosh Haayin,Global,Utilities ,Smart Grids
EnStorage,https://enstorageinc.com/,Flow battery based large scale energy storage systems,Series B,"17,000,000",Energy Efficiency,Emerging,2008,Israel,Yavne,Global,End consumers,Energy Generation
Simplo Technology,https://www.simplo.com.tw,Lithium-Ion battery pack developer,Public,,x,Mature,1992,Taiwan,Hsinchu,Global,Commercial and Industrial (C&I) ,Battery manufacturing
Meineng Energy,http://www.meinengenergy.com,Flow battery based energy storage system developer,Series A,"12,800,000",Renewables Transition,Nascent,2011,China,Wuhu,Global,Utilities ,Energy storage 
