Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD)
Sigma Ratings,https://www.sigmaratings.com/,1,Regulation,2,Identify the Client (AML/KYC),"Mu Sigma is a data science and analytics company that helps companies make data-driven decisions. Mu sigma works with organizations across multiple industry verticals solving business problems in horizontals such as Marketing, Risk and Supply Chain. Provides solutions covering data engineering, data science and decision science. Industry verticals include Airline, Hospitality & Entertainment, Pharmaceuticals and Healthcare, BFSI, CPG and Retail. Clients include 140 of the Fortune 500 companies. The company aims to reach $1B in revenues by 2020.",USA,2016,Seed,2018,5280000,2400000
SeedLegals,https://seedlegals.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Start, raise and grow faster with SeedLegals. We're the platform that automates the legals to help companies close funding rounds faster, hire, manage, allocate equity to their team and more... We're the operating system for your company. And we've already transformed the way more than 15,000 UK and French startups run their businesses.","London, England, United Kingdom",2016,Early Stage Venture,2019,5305154,4000000
BigchainDB,https://www.bigchaindb.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","BigchainDB is a blockchain database offering decentralization, immutability and native assets. BigchainDB allows for the deployment of large-scale applications in a variety of use cases and industries from intellectual property and identity to supply chain, IoT and artificial intelligence. BigchainDB provides unique solutions for developers, start-ups and enterprises to successfully build their concepts, platforms and applications as big as they can dream.","Berlin, Berlin, Germany",2014,Early Stage Venture,2016,5370000,3370000
Tokeny Solutions,https://tokeny.com,2,Liquidity,5,Digital & Tokenized Assets,"Tokeny Solutions enables mid-cap companies, investment banks, funds, asset managers and distributors to dematerialize assets on the blockchain, allowing them to reach a global audience, enforce compliance obligations, enable automation and increase operational efficiency. The Luxembourg-based FinTech company is the market-leader in delivering an institutional grade, modular end-to-end platform, allowing for the issuance, transfer and servicing management of tradable digital assets/security tokens, such as tokenized loans, structured notes, equity and funds. Tokeny Solutions has issued multiple tokenized offerings across five continents with further security offerings imminent.","Luxembourg, Luxembourg, Luxembourg",2017,Corporate Round,2019,5643748,5643748
Tokeny,https://tokeny.com/,2,Liquidity,5,Digital & Tokenized Assets,"Tokeny provides a compliant tokenization platform to issue, manage and trade security tokens. Offers a cloud platform to issue compliant tokenized securities to eligible investors. Features include onboarding solution with KYC & AML tools, multi-currency and multi-payment methods. The company offers a blockchain-based solution for the compliant transfer of asset ownership. Also offers software solutions for issuers & their investors to manage tokenized securities.",USA,2017,Series A,2019,5680000,5680000
CoPower,https://copower.me/en/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","CoPower is an online platform that simplifies clean energy investing. We help investors place capital into energy efficiency and renewable energy generation projects that offer solid returns, along with measured environmental impact. Since late 2014, CoPower has placed over $2.5 million in clean energy loans. CoPower is a proud Certified B Corporation. Visit copower.me to learn more.","Montr̩al, Quebec, Canada",2013,M&A,2017,5896971,2000000
TRM Labs,https://trmlabs.com/,3,De/manage-risk,10,"Crypto-Security, and blockchain custody",TRM provides risk and compliance management solution for crypto companies. Offers a solution that automatically detects & reports suspicious activity. It allows companies to launch KYC identify verification and build compliant airdrops. It automatically blends on-chain and off-chain data and provides information about the token holders.,USA,2018,Seed,2019,5900000,4200000
DiligenceVault,http://www.diligencevault.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","DiligenceVault delivers a technology enabled environment to simplify and transform the process that an investor employs in investing with external managers. DiligenceVault creates a many-to-many ecosystem of institutional investors, investment managers, and intermediaries, leveraging data-driven decisions and process automation.","New York, New York, United States",2014,Series A,2019,5968528,5968528
Brickblock,https://www.brickblock.io/,2,Liquidity,5,Digital & Tokenized Assets,"Brickblock claims to be creating an investment platform that allows individuals to invest directly into ETF's and real estate funds using their cryptocurrency balances. The goal of the project is to create a system that facilitates cross border investments and access to capital markets round the clock. Enabled by smart contracts, the platform will allow routine dispersion of dividends, reduce entry barriers in terms of paper work and foreign exchange and function relatively transparently.",Germany,2016,Series A,2019,5970000,5710000
Diligence Vault,https://diligencevault.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","DiligenceVault is building a SaaS solution for simplifying due-diligence on fund structures including hedge funds, private equity funds, and alternative mutual funds. Provides customized templates and analytics. Looking to hire in Ahmedabad. Currently in beta",USA,2014,Series A,2019,5970000,5970000
